ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal,Occupant of pick-up truck or van injured in collision with pedestrian or animal,Occupant of pick-up truck or van injured in collision with pedestrian or animal,Occupant of pick-up truck or van injured in collision with pedestrian or animal,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal,V50   Ocup caminhonete traum colis pedestre animal
V500,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in nontraffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente não-de-trânsito,V50.0 Condutor acid n-trans
V501,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente não-de-trânsito,V50.1 Passageiro acid n-trans
V502,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito,V50.2 Pessoa viajando ext veic acid n-trans
V503,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in nontraffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in nontraffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito,V50.3 Ocupante NE acid n-trans
V504,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person injured while boarding or alighting,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person injured while boarding or alighting,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person injured while boarding or alighting,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person injured while boarding or alighting,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - pessoa traumatizado ao subir ou descer do veículo,V50.4 Pessoa ao subir ou descer do veic
V505,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in traffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente de trânsito,V50.5 Condutor acid trans
V506,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in traffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito,V50.6 Passageiro acid trans
V507,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito,V50.7 Pessoa viajando ext veic acid trans
V509,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in traffic accident,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in traffic accident,Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito,V50.9 Ocupante NE acid trans
